Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,STparts_цена,STparts_Δ,Autotrade_цена,Autotrade_Δ,Froza_цена,Froza_Δ,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин
MZ320015,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Таиланд), (5л)",Mitsubishi,Москва,В наличии,130,2613.0,2979.0,2613.0,2403.0,-210.0,—,—,—,—,2922.92,309.9200000000001,дороже мин. на 210 руб. (8.0%),ATS 2 403,-210.0,-8.0
MZ320100,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Дубай), (1л)",Mitsubishi,Москва,В пути,—,802.0,888.0,802.0,713.0,-89.0,—,—,—,—,1102.4,300.4000000000001,дороже мин. на 89 руб. (11.1%),ATS 713,-89.0,-11.1
MZ320101,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Дубай), (5л)",Mitsubishi,Москва,В наличии,15,3643.0,4033.0,3643.0,3197.0,-446.0,3323.0,-320.0,—,—,—,—,дороже мин. на 446 руб. (12.2%),ATS 3 197,-446.0,-12.2
MZ320863,"Моторное масло Mitsubishi SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (1л)",Mitsubishi,Москва,В пути,—,693.0,767.0,693.0,611.0,-82.0,3102.0,2409.0,—,—,—,—,дороже мин. на 82 руб. (11.8%),ATS 611,-82.0,-11.8
XO5W20Q1SP,"Моторное масло Ford Motorcraft SP 5W-20 / ILSAC GF-6, (США), (0,946л)",Ford,Москва,В пути,—,813.0,900.0,813.0,—,—,—,—,—,—,200.94,-612.06,дороже мин. на 612 руб. (75.3%),Froza 200.94,-612.06,-75.3
XO5W305Q3SP,"Моторное масло Ford Motorcraft SP 5W-30 / ILSAC GF-6, (США), (4,73л)",Ford,Москва,В пути,—,3461.0,3946.0,3461.0,—,—,3905.0,444.0,—,—,304.73,-3156.27,дороже мин. на 3156 руб. (91.2%),Froza 304.73,-3156.27,-91.2
XY75W140QL,"Трансмиссионное масло Ford Motorcraft Rear Axle lubricant 75W-140, (Мост / МКПП), (США), (0,946л)",Ford,Москва,В пути,—,3277.0,3627.0,3277.0,—,—,2773.06,-503.94000000000005,—,—,3243.81,-33.190000000000055,дороже мин. на 504 руб. (15.4%),STparts 2 773.06,-503.94,-15.4
06161,"Масло ГУР Febi 06161 Zentralhydrauliköl, синтетическое, (Германия), (1л)",Febi,Москва,В пути,—,990.0,990.0,—,1151.0,161.0,1071.4,81.40000000000009,—,—,1253.46,263.46000000000004,дешевле мин. на 81 руб. (8.2%),STparts 1 071.40,81.4,8.2
08234P99F1PY1,"Моторное масло Honda SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (1л)",Honda,Москва,В пути,—,767.0,857.0,767.0,—,—,855.8,88.79999999999995,—,—,—,—,дешевле мин. на 89 руб. (11.6%),STparts 855.80,88.8,11.6
08234P99F4PY1,"Моторное масло Honda SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Honda,Москва,В наличии,143,3276.0,3735.0,3276.0,—,—,3732.3,456.3000000000002,—,—,—,—,дешевле мин. на 456 руб. (13.9%),STparts 3 732.30,456.3,13.9
08880-83713,"Моторное масло Toyota SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (1л)",Toyota,Москва,В пути,—,518.0,574.0,518.0,652.0,134.0,—,—,—,—,769.69,251.69000000000005,дешевле мин. на 134 руб. (25.9%),ATS 652,134.0,25.9
08880-83714,"Моторное масло Toyota SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Toyota,Москва,В наличии,678,2560.0,2919.0,2560.0,2682.0,122.0,—,—,—,—,2656.0,96.0,дешевле мин. на 96 руб. (3.8%),Froza 2 656,96.0,3.8
08880-83716,"Моторное масло Lexus SN 5W-40 / ILSAC GF-5, для бенз. двигателей, (Дубай), (1л)",Lexus,Москва,В пути,—,601.0,650.0,601.0,745.0,144.0,—,—,—,—,845.5,244.5,дешевле мин. на 144 руб. (24.0%),ATS 745,144.0,24.0
08880-83719,"Моторное масло Lexus SN 5W-40 / ILSAC GF-5, для бенз. двигателей, (Дубай), (208л)",Lexus,Москва,В пути,—,117520.0,117520.0,—,121164.0,3644.0,—,—,—,—,—,—,дешевле мин. на 3644 руб. (3.1%),ATS 121 164,3644.0,3.1
08880-84131,"Моторное масло Toyota SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (1л)",Toyota,Москва,В пути,—,636.0,574.0,636.0,641.0,5.0,—,—,—,—,781.93,145.92999999999995,дешевле мин. на 5 руб. (0.8%),ATS 641,5.0,0.8
08880-84136,"Моторное масло Lexus SP 5W-40 / ILSAC GF-6, для бенз. двигателей, (Дубай), (4л)",Lexus,Москва,В наличии,131,2580.0,2942.0,2580.0,2673.0,93.0,—,—,—,—,3191.2,611.1999999999998,дешевле мин. на 93 руб. (3.6%),ATS 2 673,93.0,3.6
08880-84355,"Моторное масло Toyota SP 0W-20 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Toyota,Москва,В пути,—,3312.0,3776.0,3312.0,3426.0,114.0,—,—,—,—,4159.8,847.8000000000002,дешевле мин. на 114 руб. (3.4%),ATS 3 426,114.0,3.4
08880-84356,"Моторное масло Toyota SP 0W-20 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (1л)",Toyota,Москва,В пути,—,652.0,744.0,652.0,738.0,86.0,—,—,—,—,908.32,256.32000000000005,дешевле мин. на 86 руб. (13.2%),ATS 738,86.0,13.2
08885-81163,"Трансмиссионное масло Toyota Hypoid Gear Oil 85W-90 / GL-5, для МКПП, (Дубай), (1л)",Toyota,Москва,В пути,—,535.0,592.0,535.0,835.0,300.0,—,—,—,—,—,—,дешевле мин. на 300 руб. (56.1%),ATS 835,300.0,56.1
08886-01805,"Гидравлическое масло TOYOTA SuspensionFluid AHC (2,5л)",Toyota,Москва,В пути,—,2354.0,2606.0,2354.0,—,—,—,—,—,—,2881.25,527.25,дешевле мин. на 527 руб. (22.4%),Froza 2 881.25,527.25,22.4
08886-02105,"Трансмиссионное масло Toyota CVTF TC, для вариаторов, (Япония), (4л)",Toyota,Москва,В пути,—,3435.0,3803.0,3435.0,5295.0,1860.0,—,—,—,—,4705.32,1270.3199999999997,дешевле мин. на 1270 руб. (37.0%),Froza 4 705.32,1270.32,37.0
08886-02305,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Япония), (4л)",Toyota,Москва,В пути,—,4668.0,5168.0,4668.0,5269.0,601.0,—,—,—,—,6728.59,2060.59,дешевле мин. на 601 руб. (12.9%),ATS 5 269,601.0,12.9
08886-02505,"Трансмиссионное масло Toyota CVTF FE, для вариаторов, (Япония), (4л)",Toyota,Москва,В пути,—,4242.0,4696.0,4242.0,—,—,—,—,—,—,7161.06,2919.0600000000004,дешевле мин. на 2919 руб. (68.8%),Froza 7 161.06,2919.06,68.8
08886-80200,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Китай), (4л)",Toyota,Москва,В пути,—,3564.0,3946.0,3564.0,3711.0,147.0,—,—,—,—,4496.7,932.6999999999998,дешевле мин. на 147 руб. (4.1%),ATS 3 711,147.0,4.1
08886-81015,"Трансмиссионное масло Toyota ATF Type T-IV, для АКПП, (Япония), (4л)",Toyota,Москва,В пути,—,4017.0,4448.0,4017.0,5106.0,1089.0,—,—,—,—,4932.76,915.7600000000002,дешевле мин. на 916 руб. (22.8%),Froza 4 932.76,915.76,22.8
08886-81855,"Трансмиссионное масло Toyota ATF WS, для АКПП 08886-81855, (Таиланд), (4л)",Toyota,Москва,В пути,—,4111.0,4551.0,4111.0,—,—,—,—,—,—,4705.19,594.1899999999996,дешевле мин. на 594 руб. (14.5%),Froza 4 705.19,594.19,14.5
08886-81875,"Трансмиссионное масло Toyota CVTF Fluid FE, для вариаторов, (Таиланд), (4л)",Toyota,Москва,В наличии,311,4498.0,5128.0,4498.0,4587.0,89.0,—,—,—,—,5153.66,655.6599999999999,дешевле мин. на 89 руб. (2.0%),ATS 4 587,89.0,2.0
1011136,"Моторное масло HYUNDAI XTeer G700 SP 5W-40 / ILSAC GF-6, синтетическое, бензин, (Корея), (1л)",Hyundai,Москва,В наличии,19,556.0,615.0,556.0,—,—,—,—,—,—,799.72,243.72000000000003,дешевле мин. на 244 руб. (43.8%),Froza 799.72,243.72,43.8
1041223,"Моторное масло HYUNDAI XTeer D800 C3 CF 5W-40, ACEA A3/B3/B4/C3, синтетическое, (Корея), (4л)",Hyundai,Москва,В пути,—,2882.0,3063.0,2882.0,—,—,—,—,—,—,3614.64,732.6399999999999,дешевле мин. на 733 руб. (25.4%),Froza 3 614.64,732.64,25.4
4024610,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Япония), (4л)",Mitsubishi,Москва,В наличии,102,3372.0,3845.0,3372.0,3636.0,264.0,3652.0,280.0,—,—,4340.47,968.4700000000003,дешевле мин. на 264 руб. (7.8%),ATS 3 636,264.0,7.8
550075051,"Моторное масло Shell Helix HX8 SP 5W-40 (A3/B4), MB 229.3, (Оман), (5л)",Mercedes-Benz,Москва,В пути,—,2025.0,2199.0,2025.0,2260.0,235.0,—,—,—,—,—,—,дешевле мин. на 235 руб. (11.6%),ATS 2 260,235.0,11.6
68218057GE,"Трансмиссионное масло Mopar ATF+4 / PSF+4, для АКПП / ГУР, (США), (1л)",Mopar,Москва,В пути,—,872.0,965.0,872.0,983.0,111.0,—,—,—,—,1198.15,326.1500000000001,дешевле мин. на 111 руб. (12.7%),ATS 983,111.0,12.7
83212465849,"Моторное масло BMW Twin Power Turbo SN 5W-30 Longlife-04 (C3), (Германия/Испания), (1л.)",BMW,Москва,В пути,—,1051.0,1109.0,1051.0,—,—,1493.38,442.3800000000001,—,—,1948.61,897.6099999999999,дешевле мин. на 442 руб. (42.1%),STparts 1 493.38,442.38,42.1
90790BS455,"Моторное масло YAMALUBE 4Т SJ 10W-40, для 4-такт. лодочных моторов 4 Stroke, (Сингапур), (1л)",YAMALUBE,Москва,В наличии,1208,822.0,938.0,822.0,—,—,—,—,—,—,1505.84,683.8399999999999,дешевле мин. на 684 руб. (83.2%),Froza 1 505.84,683.84,83.2
A000989330913ABDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, бензин/дизель, (Бельгия), (5л.)",Mercedes-Benz,Москва,В пути,—,4737.0,5245.0,4737.0,5233.0,496.0,5379.0,642.0,—,—,—,—,дешевле мин. на 496 руб. (10.5%),ATS 5 233,496.0,10.5
A000989440411FDNE,"Трансмиссионное масло Mercedes-Benz ATF MB 236.15, A000989440411FDNE, (1л)",Mercedes-Benz,Москва,В наличии,568,1572.0,1793.0,1572.0,—,—,1611.5,39.5,—,—,—,—,дешевле мин. на 40 руб. (2.5%),STparts 1 611.50,39.5,2.5
A000989671011FBDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,368,1154.0,1316.0,1154.0,1176.0,22.0,1221.0,67.0,—,—,—,—,дешевле мин. на 22 руб. (1.9%),ATS 1 176,22.0,1.9
A000989671013FBDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, (Германия), (5л)",Mercedes-Benz,Москва,В наличии,1,5136.0,5856.0,5136.0,565600.0,560464.0,5193.1,57.100000000000364,—,—,—,—,дешевле мин. на 57 руб. (1.1%),STparts 5 193.10,57.1,1.1
A000989681013FSEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5 (Германия), (5л)",Mercedes-Benz,Москва,В наличии,381,4383.0,4997.0,4383.0,4633.0,250.0,4727.8,344.8000000000002,—,—,—,—,дешевле мин. на 250 руб. (5.7%),ATS 4 633,250.0,5.7
A000989691011FSDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,349,996.0,1136.0,996.0,1176.0,180.0,1059.3,63.299999999999955,—,—,—,—,дешевле мин. на 63 руб. (6.4%),STparts 1 059.30,63.3,6.4
A000989691013FSDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, (Германия), (5л)",Mercedes-Benz,Москва,В наличии,485,4954.0,5648.0,4954.0,4969.0,15.0,5021.5,67.5,—,—,—,—,дешевле мин. на 15 руб. (0.3%),ATS 4 969,15.0,0.3
A002989060312,"Трансмиссионное масло Mercedes-Benz ATF MB 236.17, (Германия), (1л)",Mercedes-Benz,Москва,В пути,—,1739.0,1926.0,1739.0,—,—,2420.0,681.0,—,—,—,—,дешевле мин. на 681 руб. (39.2%),STparts 2 420,681.0,39.2
GS55502M2EUR,"Моторное масло Volkswagen (VAG) Special G 5W-40, VW 502 00 / 505 00, бенз/диз (Германия), (1л)",Volkswagen,Москва,В пути,—,769.0,920.0,769.0,—,—,786.81,17.809999999999945,—,—,928.32,159.32000000000005,дешевле мин. на 18 руб. (2.3%),STparts 786.81,17.81,2.3
K0410Y0700,"Трансмиссионное масло ATF Subaru Gearbox, для АКПП, (Япония), (4л)",Subaru,Москва,В пути,—,3381.0,3743.0,3381.0,—,—,—,—,—,—,9003.13,5622.129999999999,дешевле мин. на 5622 руб. (166.3%),Froza 9 003.13,5622.13,166.3
KE90799932,"Трансмиссионное масло Nissan Differential Fluid 80W-90 / GL-5, для МКПП, (Европа), (1л)",Nissan,Москва,В наличии,243,1673.0,1908.0,1673.0,—,—,1741.83,68.82999999999993,—,—,2140.39,467.3899999999999,дешевле мин. на 69 руб. (4.1%),STparts 1 741.83,68.83,4.1
KLE2200004,"Трансмиссионное масло Nissan ATF Matic D, для АКПП, (Япония), (4л)",Nissan,Москва,В пути,—,4593.0,5085.0,4593.0,—,—,7192.9,2599.8999999999996,—,—,7258.78,2665.7799999999997,дешевле мин. на 2600 руб. (56.6%),STparts 7 192.90,2599.9,56.6
KLE5200004,"Трансмиссионное масло Nissan CVT Fluid NS-2, для вариаторов, (Япония), (4л)",Nissan,Москва,В пути,—,4980.0,5678.0,4980.0,—,—,6322.47,1342.4700000000003,—,—,6545.52,1565.5200000000004,дешевле мин. на 1342 руб. (27.0%),STparts 6 322.47,1342.47,27.0
LIM10038-1EN,"Моторное масло Mazda ""GOLDEN"" SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (1л)",Mazda,Москва,В наличии,153,763.0,870.0,763.0,886.0,123.0,—,—,—,—,—,—,дешевле мин. на 123 руб. (16.1%),ATS 886,123.0,16.1
LUB10W40WV12,"Моторное масло YAMALUBE 4Т SJ 10W-40, для 4-такт. лодочных моторов 4 Stroke, (США), (0,946л)",YAMALUBE,Москва,В наличии,3,1639.0,1814.0,1639.0,—,—,—,—,—,—,2617.04,978.04,дешевле мин. на 978 руб. (59.7%),Froza 2 617.04,978.04,59.7
MZ320185,"Трансмиссионное масло Mitsubishi CVT Fluid J4, (Соединенные штаты), (0,946 л)",Mitsubishi,Москва,В пути,—,1339.0,1482.0,1339.0,1782.0,443.0,2841.3,1502.3000000000002,—,—,3197.66,1858.6599999999999,дешевле мин. на 443 руб. (33.1%),ATS 1 782,443.0,33.1
