Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,STparts_цена,STparts_Δ,Autotrade_цена,Autotrade_Δ,Froza_цена,Froza_Δ,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин
08880-83714,"Моторное масло Toyota SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Toyota,Москва,В наличии,678,2575.0,2936.0,2575.0,2682.0,107.0,—,—,—,—,2656.0,81.0,дешевле мин. на 81 руб. (3.1%),Froza 2 656,81.0,3.1
08880-84136,"Моторное масло Lexus SP 5W-40 / ILSAC GF-6, для бенз. двигателей, (Дубай), (4л)",Lexus,Москва,В наличии,131,2595.0,2959.0,2595.0,2673.0,78.0,—,—,—,—,3189.8,594.8000000000002,дешевле мин. на 78 руб. (3.0%),ATS 2 673,78.0,3.0
08886-81875,"Трансмиссионное масло Toyota CVTF Fluid FE, для вариаторов, (Таиланд), (4л)",Toyota,Москва,В наличии,311,4525.0,5159.0,4525.0,4587.0,62.0,—,—,5780.0,1255.0,5153.66,628.6599999999999,дешевле мин. на 62 руб. (1.4%),ATS 4 587,62.0,1.4
1011136,"Моторное масло HYUNDAI XTeer G700 SP 5W-40 / ILSAC GF-6, синтетическое, бензин, (Корея), (1л)",Hyundai,Москва,В наличии,19,559.0,619.0,559.0,—,—,—,—,—,—,799.72,240.72000000000003,дешевле мин. на 241 руб. (43.1%),Froza 799.72,240.72,43.1
4024610,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Япония), (4л)",Mitsubishi,Москва,В наличии,102,3392.0,3867.0,3392.0,3636.0,244.0,3652.0,260.0,4075.0,683.0,4340.47,948.4700000000003,дешевле мин. на 244 руб. (7.2%),ATS 3 636,244.0,7.2
83215A1C740,"Моторное масло BMW Twin Power Turbo SN 0W-30 Longlife-12 FE (C2), (Германия/Испания), (1л.)",BMW,Москва,В наличии,1,1912.0,2117.0,1912.0,—,—,1925.0,13.0,—,—,—,—,дешевле мин. на 13 руб. (0.7%),STparts 1 925,13.0,0.7
90790BS455,"Моторное масло YAMALUBE 4Т SJ 10W-40, для 4-такт. лодочных моторов 4 Stroke, (Сингапур), (1л)",YAMALUBE,Москва,В наличии,1208,827.0,943.0,827.0,—,—,—,—,—,—,1505.84,678.8399999999999,дешевле мин. на 679 руб. (82.1%),Froza 1 505.84,678.84,82.1
A000989440411FDNE,"Трансмиссионное масло Mercedes-Benz ATF MB 236.15, A000989440411FDNE, (1л)",Mercedes-Benz,Москва,В наличии,568,1580.0,1802.0,1580.0,—,—,1611.5,31.5,—,—,—,—,дешевле мин. на 32 руб. (2.0%),STparts 1 611.50,31.5,2.0
A000989671011FBDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,368,1161.0,1324.0,1161.0,1176.0,15.0,1221.0,60.0,—,—,—,—,дешевле мин. на 15 руб. (1.3%),ATS 1 176,15.0,1.3
A000989671013FBDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, (Германия), (5л)",Mercedes-Benz,Москва,В наличии,1,5165.0,5889.0,5165.0,565600.0,560435.0,5193.1,28.100000000000364,—,—,—,—,дешевле мин. на 28 руб. (0.5%),STparts 5 193.10,28.1,0.5
A000989681013FSEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5 (Германия), (5л)",Mercedes-Benz,Москва,В наличии,381,4410.0,5028.0,4410.0,4633.0,223.0,4727.8,317.8000000000002,—,—,—,—,дешевле мин. на 223 руб. (5.1%),ATS 4 633,223.0,5.1
A000989691011FSDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,349,1001.0,1142.0,1001.0,1176.0,175.0,1053.8,52.799999999999955,—,—,—,—,дешевле мин. на 53 руб. (5.3%),STparts 1 053.80,52.8,5.3
KE90799932,"Трансмиссионное масло Nissan Differential Fluid 80W-90 / GL-5, для МКПП, (Европа), (1л)",Nissan,Москва,В наличии,243,1683.0,1919.0,1683.0,—,—,1741.83,58.82999999999993,—,—,2140.39,457.3899999999999,дешевле мин. на 59 руб. (3.5%),STparts 1 741.83,58.83,3.5
LIM10038-1EN,"Моторное масло Mazda ""GOLDEN"" SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (1л)",Mazda,Москва,В наличии,153,767.0,875.0,767.0,886.0,119.0,—,—,—,—,—,—,дешевле мин. на 119 руб. (15.5%),ATS 886,119.0,15.5
LUB10W40WV12,"Моторное масло YAMALUBE 4Т SJ 10W-40, для 4-такт. лодочных моторов 4 Stroke, (США), (0,946л)",YAMALUBE,Москва,В наличии,3,1648.0,1824.0,1648.0,—,—,—,—,—,—,2617.04,969.04,дешевле мин. на 969 руб. (58.8%),Froza 2 617.04,969.04,58.8
MZ320265,"Трансмиссионное масло Mitsubishi Multi Gear Oil Eco 75W-80 / GL-4, для МКПП, (Таиланд), (1л)",Mitsubishi,Москва,В наличии,12,1500.0,1710.0,1500.0,1863.0,363.0,2278.1,778.0999999999999,2365.0,865.0,—,—,дешевле мин. на 363 руб. (24.2%),ATS 1 863,363.0,24.2
MZ321232,"Моторное масло Mitsubishi SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Mitsubishi,Москва,В наличии,2378,3069.0,3499.0,3069.0,3202.0,133.0,3276.9,207.9000000000001,3155.0,86.0,3867.47,798.4699999999998,дешевле мин. на 86 руб. (2.8%),Autotrade 3 155,86.0,2.8
XT10QLVC,"Трансмиссионное масло Ford Motorcraft ATF Mercon LV, для АКПП / ГУР (красный), (США), (0,946л)",Ford,Москва,В наличии,225,744.0,823.0,744.0,—,—,821.03,77.02999999999997,—,—,970.43,226.42999999999995,дешевле мин. на 77 руб. (10.4%),STparts 821.03,77.03,10.4
08269P99Z3FC1,"Трансмиссионное масло Honda CVTF TYPE-2 / HCF-2, для вариаторов, (Индонезия), (3,5л)",Honda,Москва,В наличии,32,6572.0,7493.0,6572.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550027806,"Трансмиссионное масло Shell SPIRAX S4 CX 30, (Оман), (209л)",Shell,Москва,В наличии,4,60000.0,60000.0,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061543,"Моторное масло Shell Helix Ultra SP 0W-40 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,74,3274.0,3305.0,3274.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
550061569,"Моторное масло Shell Helix HX7 SP 10W-40 (A3/B4), MB 229.3, (Оман), (1л)",Mercedes-Benz,Москва,В наличии,7,541.0,567.0,541.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
90790BS214,"Моторное масло YAMALUBE 2Т для 2-такт. лодочных моторов 2 Stroke, (Сингапур), (1л)",YAMALUBE,Москва,В наличии,4,657.0,749.0,657.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
GS55502M2GME,"Моторное масло Volkswagen (VAG) Special G 5W-40, VW 502 00 / 505 00, бенз/диз (Оман), (1л)",Volkswagen,Москва,В наличии,7,1398.0,1547.0,1398.0,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—
